id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,Revenue CAGR (%),Net Profit CAGR (%),EPS CAGR (%),Asset CAGR (%),Operating Cash Ratio,Investment Ratio,Financing Ratio,Free Cash Flow Indicator,Cash Quality Score,Cashflow Rank
801,NHPC,Mar 2024,41.82,50.0,10.41,0.8413,11.2434,0.1032,970.0,5968.0,4.0,0.3853,53.0,32561,6938.0,3.54,1.46,3.44,3.81,1.72,-0.86,-0.08,970.0,128.8,237
802,NTPC,Mar 2013,17.6,25.0,15.49,0.8668,9.2035,0.4,-337.0,16845.0,13.0,0.9853,38.0,70419,16508.0,8.29,4.98,4.87,8.81,1.31,-1.02,0.06,-337.0,52.400000000000006,394
803,NTPC,Mar 2014,14.56,25.0,13.06,0.9327,6.9013,0.3914,1022.0,15509.0,12.0,1.0592,42.0,81455,16531.0,8.29,4.98,4.87,8.81,1.45,-0.94,-0.16,1022.0,118.0,260
804,NTPC,Mar 2015,12.5,22.0,12.17,1.2455,5.3666,0.3639,-1088.0,15977.0,10.0,0.9957,21.0,102252,14889.0,8.29,4.98,4.87,8.81,1.49,-1.07,-0.1,-1088.0,59.6,383
805,NTPC,Mar 2016,14.69,25.0,11.77,1.0857,5.8693,0.3267,4963.0,19162.0,11.0,1.1107,26.0,99424,24125.0,8.29,4.98,4.87,8.81,2.24,-0.79,-0.16,4963.0,149.60000000000002,192
806,NTPC,Mar 2017,13.06,26.0,10.95,1.1629,6.1791,0.33,-4313.0,24480.0,11.0,1.1866,37.0,113773,20167.0,8.29,4.98,4.87,8.81,1.88,-1.21,0.16,-4313.0,75.19999999999999,364
807,NTPC,Mar 2018,11.92,26.0,10.14,1.2557,6.3101,0.3118,-1008.0,20678.0,11.0,1.2561,40.0,130049,19670.0,8.29,4.98,4.87,8.81,1.87,-1.05,0.05,-1008.0,74.80000000000001,365
808,NTPC,Mar 2019,13.99,23.0,12.6,1.5541,4.5545,0.2891,-5377.0,24063.0,14.0,1.1254,44.0,173058,18686.0,8.29,4.98,4.87,8.81,1.33,-1.29,0.26,-5377.0,53.2,392
809,NTPC,Mar 2020,10.87,29.0,10.02,1.708,4.8596,0.2899,-5738.0,29628.0,12.0,1.201,27.0,202984,23890.0,8.29,4.98,4.87,8.81,2.01,-1.24,0.25,-5738.0,80.39999999999999,354
810,NTPC,Mar 2021,13.42,31.0,11.9,1.6718,4.2351,0.2802,11410.0,21034.0,15.0,1.2967,41.0,210208,32444.0,8.29,4.98,4.87,8.81,2.17,-0.65,-0.34,11410.0,146.8,197
